번호,제목
1,"['“언젠가는', '슬기로울', '000”', '합병에', '프로야구까지', '주가도', '변곡점에', '[종목Pick]']"
2,"['“10년', '내', '25배', '커진다”…운용사들', '앞다퉈', '내놓은', '상품은[ETF언박싱]']"
3,"['해외서', '잘', '나가는', 'K푸드…오리온·삼양식품', '등', '목표가', '상향[청기홍기]']"
4,"['""\'수익률', ""1위'가"", '수십개""…‘진흙탕’', '싸움된', 'ETF', '경쟁[왓츠', '유어', 'ETF]']"
5,"['""불안하니', '잠시만', '여기에""…일주새', ""'뭉칫돈'"", '유입']"
6,"['블랙핑크', '리사', '‘예비', '시아버지’', '수난시대…명품', '시총', '선두', '뺏기고', '‘트럼프', '관세', '충격’', '하소연도', '[투자360]']"
7,"['""어?', '왜', '떨어져?""', '이유도', '없이', ""'뚝'…93%"", '폭락,', '단', '3시간', '걸렸다']"
8,"['한달도', '안', '남은', 'MSCI', '정기변경…편출입', '후보株', ""'들썩'""]"
9,"['한화에어로', ""'유증"", ""퇴짜'에"", '더', '간다…사상', '최고가', '경신[종목현미경]']"
10,"['이재명', '에너지', '우클릭', '기대감,', '맥쿼리', '보고서까지…원전주', '더', '오를까[마켓시그널]']"
11,"['""아,', '5만원', '오긴', '할까요""', '개미들', ""'비명'…국민연금도"", '물렸다', '[윤현주의', '主食이', '주식]']"
12,"['그룹사', '사업재편', '봇물…‘평판', '저하’', 'PE', '순기능', '시험대', '[주간', '‘딜’리버리]']"
13,"['“오래', '묻어둔', '사람일수록', '웃는다”...마음', '편안한', 'ETF,', '배당·AI·방산', '주목을']"
14,"['관세', '리스크에', '그룹주', 'ETF', '희비…', '한화', '독주', '속', '삼성·포스코', '주춤']"
15,"['트럼프', '업고', '치솟던', '천연가스', '‘뚝’…“2분기', '투자', '매력적”', '[투자360]']"
16,"['HPSP', '엔지니어링', '총괄,', '지분', '장내', '매도[이런국장', '저런주식]']"
17,"['[단독]', '돈줄', '마른', '상장사…올해', '갚을', '빚,', '52조', '급증']"
18,"['美', '관세전쟁', '여파로', '국내', '그룹주', 'ETF', '‘희비’[트럼프', '스트레스]']"
19,"['흐지부지', '사라지는', '증권사', '추천', '포트폴리오(MP)…', 'KB', '수익률은', '‘우뚝’']"
20,"['실적', '꺾이는', '곳', '나오기', '시작...', '화장품株', '‘옥석', '가리기’', '나선', '운용사들']"
